"英文表名","中文表名","英文字段名","中文字段名","字段属性","长度"
"pm_document_template","单据流程模板表","id","模板ID","key",""
"pm_document_template","单据流程模板表","template_code","模板编码","VARCHAR","64"
"pm_document_template","单据流程模板表","template_name","模板名称","VARCHAR","100"
"pm_document_template","单据流程模板表","template_type","模板类型:report/application/loan","VARCHAR","32"
"pm_document_template","单据流程模板表","template_type_label","模板类型中文名","VARCHAR","32"
"pm_document_template","单据流程模板表","category_code","分类编码","VARCHAR","64"
"pm_document_template","单据流程模板表","template_description","模板说明","VARCHAR","500"
"pm_document_template","单据流程模板表","numbering_rule","编号规则","VARCHAR","64"
"pm_document_template","单据流程模板表","icon_color","主题色","VARCHAR","32"
"pm_document_template","单据流程模板表","enabled","是否启用","TINYINT",""
"pm_document_template","单据流程模板表","publish_status","发布状态","VARCHAR","16"
"pm_document_template","单据流程模板表","print_mode","打印方式","VARCHAR","64"
"pm_document_template","单据流程模板表","approval_flow","审批流程编码","VARCHAR","64"
"pm_document_template","单据流程模板表","flow_name","审批流程名称","VARCHAR","100"
"pm_document_template","单据流程模板表","payment_mode","付款联动模式","VARCHAR","64"
"pm_document_template","单据流程模板表","split_payment","是否支持分期付款","TINYINT",""
"pm_document_template","单据流程模板表","travel_form","行程表单","VARCHAR","64"
"pm_document_template","单据流程模板表","allocation_form","分摊表单","VARCHAR","64"
"pm_document_template","单据流程模板表","ai_audit_mode","AI审核模式","VARCHAR","64"
"pm_document_template","单据流程模板表","relation_remark","关联规则说明","VARCHAR","500"
"pm_document_template","单据流程模板表","validation_remark","未税校验说明","VARCHAR","500"
"pm_document_template","单据流程模板表","installment_remark","分期说明","VARCHAR","500"
"pm_document_template","单据流程模板表","highlights","卡片亮点，使用|分隔","VARCHAR","500"
"pm_document_template","单据流程模板表","owner_name","维护人","VARCHAR","64"
"pm_document_template","单据流程模板表","sort_order","排序号","INT",""
"pm_document_template","单据流程模板表","created_at","创建时间","DATETIME",""
"pm_document_template","单据流程模板表","updated_at","更新时间","DATETIME",""
"pm_template_category","流程模板分类表","id","分类ID","key",""
"pm_template_category","流程模板分类表","category_code","分类编码","VARCHAR","64"
"pm_template_category","流程模板分类表","category_name","分类名称","VARCHAR","64"
"pm_template_category","流程模板分类表","category_description","分类说明","VARCHAR","255"
"pm_template_category","流程模板分类表","sort_order","排序号","INT",""
"pm_template_category","流程模板分类表","status","状态:1启用 0停用","TINYINT",""
"pm_template_category","流程模板分类表","created_at","创建时间","DATETIME",""
"pm_template_category","流程模板分类表","updated_at","更新时间","DATETIME",""
"pm_template_scope","模板范围标签明细表","id","范围明细ID","key",""
"pm_template_scope","模板范围标签明细表","template_id","模板ID","BIGINT",""
"pm_template_scope","模板范围标签明细表","option_type","明细类型:EXPENSE_TYPE/SCOPE_OPTION/TAG_OPTION","VARCHAR","32"
"pm_template_scope","模板范围标签明细表","option_code","选项编码","VARCHAR","64"
"pm_template_scope","模板范围标签明细表","option_label","选项名称","VARCHAR","64"
"pm_template_scope","模板范围标签明细表","sort_order","排序号","INT",""
"pm_template_scope","模板范围标签明细表","created_at","创建时间","DATETIME",""
"sys_download_record","下载记录表","id","下载记录ID","key",""
"sys_download_record","下载记录表","user_id","用户ID","BIGINT",""
"sys_download_record","下载记录表","file_name","文件名","VARCHAR","200"
"sys_download_record","下载记录表","business_type","业务类型","VARCHAR","100"
"sys_download_record","下载记录表","status","状态:DOWNLOADING/COMPLETED/FAILED","VARCHAR","20"
"sys_download_record","下载记录表","progress","下载进度","INT",""
"sys_download_record","下载记录表","file_size","文件大小","VARCHAR","30"
"sys_download_record","下载记录表","created_at","创建时间","DATETIME",""
"sys_download_record","下载记录表","finished_at","完成时间","DATETIME",""
"sys_user","用户表","id","用户ID","key",""
"sys_user","用户表","username","用户名","VARCHAR","50"
"sys_user","用户表","password","密码（MD5加密）","VARCHAR","64"
"sys_user","用户表","name","姓名","VARCHAR","50"
"sys_user","用户表","phone","手机号","VARCHAR","20"
"sys_user","用户表","email","邮箱","VARCHAR","100"
"sys_user","用户表","dept_id","部门ID","BIGINT",""
"sys_user","用户表","position","职位","VARCHAR","50"
"sys_user","用户表","labor_relation_belong","劳动关系所属","VARCHAR","100"
"sys_user","用户表","status","状态：1正常 0禁用","TINYINT",""
"sys_user","用户表","wecom_user_id","企微用户ID","VARCHAR","100"
"sys_user","用户表","dingtalk_user_id","钉钉用户ID","VARCHAR","100"
"sys_user","用户表","created_at","创建时间","DATETIME",""
"sys_user","用户表","updated_at","更新时间","DATETIME",""
"sys_user_bank_account","用户收款账户表","id","银行账户ID","key",""
"sys_user_bank_account","用户收款账户表","user_id","用户ID","BIGINT",""
"sys_user_bank_account","用户收款账户表","bank_name","银行名称","VARCHAR","100"
"sys_user_bank_account","用户收款账户表","branch_name","支行名称","VARCHAR","100"
"sys_user_bank_account","用户收款账户表","account_name","账户名","VARCHAR","100"
"sys_user_bank_account","用户收款账户表","account_no","银行卡号","VARCHAR","50"
"sys_user_bank_account","用户收款账户表","account_type","账户类型","VARCHAR","50"
"sys_user_bank_account","用户收款账户表","default_account","是否默认账户","TINYINT",""
"sys_user_bank_account","用户收款账户表","status","状态:1启用 0停用","TINYINT",""
"sys_user_bank_account","用户收款账户表","created_at","创建时间","DATETIME",""
"sys_user_bank_account","用户收款账户表","updated_at","更新时间","DATETIME",""
